State,Cities,Hotel Name,Destination,Describe,Ratings,review_count,Actual Price,Offer Percentage,Price
Gujarat,ahmedabad,Hotel O Hathijan Vatva formerly Hotel Dev Palace,Near Hathijan Circle,Very Good,4,73,4789,72,1136
Gujarat,ahmedabad,Super Hotel O Jamalpur Ahmedabad Formerly Hotel Peace,Near Kalupur Station,Fabulous,5,294,4242,71,1007
Gujarat,ahmedabad,Super Collection O Maninagar formerly Park Land,Maninagar,Excellent,4.5,330,4355,68,1150
Gujarat,ahmedabad,Super Hotel O Geeta Mandir formerly Hotel Green Park,Behrampura,Fabulous,5,176,4105,67,1073
Gujarat,ahmedabad,Hotel O Shubham Inn,Near Navrangpura Cr Rd,Excellent,4.5,201,3627,74,737
Gujarat,ahmedabad,Hotel O Navjivan,Near Shraddha Complex,Good,3.5,59,3384,78,601
Gujarat,ahmedabad,Super Collection O Kalupur Railway Station,Near Kalupur Railway Station ,Fabulous,5,71,5477,71,1301
Gujarat,ahmedabad,Hotel O Neelkanth Palace,Motera Road,Good,3.5,33,3207,72,728
Gujarat,ahmedabad,Hotel O SG Highway Ahmedabad,Ahmedabad ,Good,3.5,90,3454,74,712
Gujarat,ahmedabad,Capital O Kadamb INN,Near City Gold Cinema ,Very Good,4,156,3099,71,698
Rajasthan,ajmer,Super Hotel O Ajmer Central formerly Grand Suman,Gol Chakkar,Excellent,4.5,476,3890,76,770
Rajasthan,ajmer,Hotel O Kesarganj formerly Suman Palace,Near Ice factory,Excellent,4.5,195,2929,75,564
Rajasthan,ajmer,Collection O Beawer Road Ajmer formerly Hotel Gupta Palace,ramganj,Excellent,4.5,9,3659,68,966
Rajasthan,ajmer,Collection O Ramganj formerly Hotel Gupta Inn,Near Beawar Road,Fabulous,5,32,3675,72,872
Rajasthan,ajmer,Hotel O Parao Formerly Cozy Inn,Chattai Mohalla,Very Good,4,168,3357,71,784
Rajasthan,ajmer,Super Hotel O Ganpati Plaza,Near mittal hospital,Fabulous,5,422,2350,71,534
Rajasthan,ajmer,Hotel O Vaishali,Near Sadar Kotwali,Excellent,4.5,250,2912,76,530
Rajasthan,ajmer,Hotel O Pushkar Talhati,Near Annasagar Chaupati,Excellent,4.5,209,3217,71,717
Rajasthan,ajmer,Hotel O Ajmer Heritage,Ajmer road near agra gate,Very Good,4,50,2912,70,688
Rajasthan,ajmer,Super Hotel O RMG Stays,Near Bus Stand,Very Good,4,127,2608,68,655
Rajasthan,ajmer,Hotel O Goyal's Inn,Nr.Mittal Hospital (500 Meter),Very Good,4,17,2849,76,539
Rajasthan,ajmer,Hotel O Grand L M,Makharwali road Ajmer,Very Good,4,59,2469,72,539
Uttar Pradesh,aligarh,SPOT ON THE APPLE INN,Salaimpur Mafi,Fabulous,5,6,2262,75,435
Uttar Pradesh,aligarh,SPOT ON Hotel GRH,India,Good,3.5,5,2262,76,424
Uttar Pradesh,aligarh,Hotel O ARAVALI PALACE,Sindhauli Market,Fabulous,5,1,2858,74,590
Uttar Pradesh,aligarh,SPOT ON THE SWEET DREAM HOTEL,Aligarh,Fair,3,35,1789,72,377
Uttar Pradesh,aligarh,Hotel O D.R. Hotel & Residency Restaurant,jalalpur,Fabulous,5,34,1969,71,441
Uttar Pradesh,aligarh,HOTEL O CLASSIC ,Infront of manglaytan university beswan,Good,3.5,2,2218,72,493
Uttar Pradesh,aligarh,HOTEL O RADHIKA,Plot No. 43G.T. ROAD MEHRAWAL,Fair,3,4,2452,71,549
Uttar Pradesh,aligarh,Hotel O Mohini Hotel,Plot No. 43 Sarmastpur Kota Amrauli Baruali Road Nearby Pohinamod and Yadav Bhatta Aligarh,Very Good,4,25,3252,71,739
Uttar Pradesh,aligarh,OYO 90856 HOTEL MANNAT,Quarsi Chauraha opposite sapa karyalay ETA chungi bypass road,Fair,3,49,2062,62,629
Uttar Pradesh,aligarh,Hotel O KVS Guest House,Bulandshahr,Fair,3,12,2657,74,546
Uttar Pradesh,aligarh,Hotel O Home Nh- Plaza,01 pandrawal doraha Aligarh-anupshahr road,Very Good,4,14,2307,75,442
Uttar Pradesh,aligarh,Hotel O THE GRAND HOTEL & RESTAURANT ,Plot no 2/1 M.s plaza main gangiri chauraha kasganj road ,Excellent,4.5,304,2912,75,580
Uttar Pradesh,aligarh,Super Hotel O AKBAR PALACE,Akbar Market,Very Good,4,10,4009,68,1033
Uttar Pradesh,aligarh,Hotel O  ALIGARH INN,Khaireswar Road,Very Good,4,1,2630,76,490
Uttar Pradesh,aligarh,Hotel O 810903 Hotel Ml Residency,Aligarh,Good,3.5,15,2116,74,419
Uttar Pradesh,aligarh,Hotel O COCO ROOMS & RESTAURANT,CoCo Splash Water Park Near Khreswar Mandir,Very Good,4,18,2659,76,487
Uttar Pradesh,aligarh,Hotel O Shubham Palace,Aligarh,Fabulous,5,1,2353,77,419
Uttar Pradesh,aligarh,Hotel O LJP Farm House ,Ramghat road Harduaganj ,Fair,3,3,1978,71,436
Uttar Pradesh,aligarh,SPOT ON Sy Guest House,Herapur,Good,3.5,4,1588,69,377
Uttar Pradesh,aligarh,Hotel O Dev Plaza,Aligarh Palwal RoadNear Bhagwati Devi Inter College,Good,3.5,3,1962,72,419
Uttar Pradesh,aligarh,Hotel O ROYAL RESORT,Plot No. 32Agra Road Sasni Nearby Samami NS Garden Ke pass,Very Good,4,21,2837,72,639
Uttar Pradesh,aligarh,Hotel O The Royal Respite (RR),Khereswar Chauraha,Good,3.5,25,2938,71,685
Uttar Pradesh,aligarh,Hotel O Mansi Hotel,Sasni Gate,Very Good,4,10,2630,77,464
Uttar Pradesh,aligarh,Hotel O Raj Residency,Village Mehrawal new bypass,Fabulous,5,3,2017,72,443
Uttar Pradesh,aligarh,SPOT ON HOTEL ROYAL PALACE,Atrauli,Fabulous,5,2,2426,78,402
Uttar Pradesh,aligarh,Hotel O Golden Imperial,8 Aligarh Bypass Road,Very Good,4,24,1824,70,419
Uttar Pradesh,aligarh,Hotel O Dwarka,Plot No. 122 Sarsol,Fabulous,5,18,2630,75,503
Uttar Pradesh,aligarh,Hotel O ANNU RESIDENCY,Indianullnull,Good,3.5,113,1789,70,419
Uttar Pradesh,aligarh,Hotel O BLUE DIAMOND HOTEL,Plot No. 77G T Road Boner Near Sariya Mil Factory,Fabulous,5,9,1875,71,419
Uttar Pradesh,aligarh,Hotel O Happy Stay,Near Ambedhar Park,Very Good,4,482,2332,72,520
Uttar Pradesh,aligarh,SPOT ON Hotel Anand Bhawan,Koyle Wali Gali,Very Good,4,2,2350,73,505
Uttar Pradesh,aligarh,Hotel O NH-,Haridaspur,Excellent,4.5,535,2574,73,550
Uttar Pradesh,aligarh,Hotel O SARLANCHAL- PG,Jalalpur,Very Good,4,163,2574,75,486
Uttar Pradesh,aligarh,Hotel O Surprise Farm House,Quarsi,Excellent,4.5,42,1954,68,486
Uttar Pradesh,aligarh,Hotel O LAXMI PALACE,Ali Nagar,Good,3.5,8,2254,75,437
Uttar Pradesh,aligarh,SPOT ON SKY BLUE HOTEL,M/2 Atruli road chhara near by greenvalley public school ,Very Good,4,25,2262,75,441
Uttar Pradesh,aligarh,Hotel O The Villager's Residency,Opposite GVM Mall,Good,3.5,16,2353,76,439
Uttar Pradesh,aligarh,Hotel O KAVYA RESIDENCY,G.T road,Very Good,4,14,2574,77,454
Uttar Pradesh,aligarh,Spot On VIRAT,GT ROAD,Very Good,4,124,2100,76,377
Uttar Pradesh,aligarh,Capital O Kanha Resort,Hathras,Fabulous,5,1,1804,67,452
Uttar Pradesh,aligarh,Hotel O HAPPY STAY,Uttar Pradesh 202137,Fair,3,25,2129,74,419
Uttar Pradesh,aligarh,Hotel O Narayan,pratham nagar pratham nagar etha,Fabulous,5,4,2442,72,528
Uttar Pradesh,aligarh,Hotel O Galaxy Hotel,G.T.road Boner,Good,3.5,21,2761,72,621
Uttar Pradesh,aligarh,Hotel O Gayatri Palace,Ramghat Road,Fabulous,5,1,2017,73,419
Uttar Pradesh,aligarh,Hotel O RELAX INN,Near Goga Ji Palace,Very Good,4,59,2630,79,427
Rajasthan,alwar,Super Townhouse Alwar,Near Railway Station,Excellent,4.5,835,4347,68,1148
Rajasthan,alwar,Hotel O White Rock Hotel,Near Golden Bag Water Park,Good,3.5,51,2084,74,424
Rajasthan,alwar,Super Hotel O Moti Doongri Alwar,Near Moti Doongri Park,Excellent,4.5,378,3581,68,946
Rajasthan,alwar,Hotel O New Paradise Hotel,Infront of Aayan Hospital,Very Good,4,17,2734,75,528
Rajasthan,alwar,Super Collection O Alwar formerly Hotel Ashoka,Manu Marg,Excellent,4.5,490,3624,68,957
