,Place,Hotel Name,Destination,Actual Price,Offer Percentage,Price,Ratings,Review
3253,kochi,Hotel O LIME Light,Kerala,₹3910,75%,₹768,42,Fair
3254,kochi,Super Townhouse Edasserys Sea Pearl,Ernakulam Districtnull,₹5362,71%,₹1268,394,Excellent
3255,kochi,Super Townhouse Edassery Blue Bells,Near KSRTC Bus Stand,₹5328,67%,₹1418,245,Very Good
3256,kochi,Hotel O Highway Inn,Kerala Near intersight tours and travels thykoodam,₹4078,77%,₹730,138,Fair
3257,kochi,Hotel O BE YOU RESIDENCY ,Metropiller no 655Padma Junction MG road,₹3419,71%,₹779,24,Good
3258,kochi,SPOT ON Taaza Residency,Perumbavoor,₹2886,78%,₹493,51,Good
3259,kochi,Hotel Thaza Rooms,Near cochin international Airport,₹3761,74%,₹773,66,Fair
3260,kochi,Townhouse OAK Island Inn,Near Varapuzha Bridge,₹7945,71%,₹1911,261,Excellent
3261,kochi,Hotel O Paradise villa,Kochi,₹3737,78%,₹663,27,Good
3262,kochi,Hotel O MRS SUITES ,Edachira Kakkanad,₹3419,71%,₹779,255,Good
3263,kochi,Collection O Premium Crystal Residency,Kakkanad,₹4661,72%,₹1069,2,Very Good
3264,kochi,Hotel O Cochin Airport Apartments,7Kms from airport,₹3674,71%,₹830,264,Excellent
3265,kochi,Super Townhouse Kizhakkambalam Tourist Home,Ernakulam District,₹4714,68%,₹1220,178,Good
3266,kochi,Hotel O KC Arcade,Near CSEZ main gate,₹3785,71%,₹883,4,Fair
3267,kochi,Hotel O Edappally Stays,Edappally,₹3851,72%,₹881,30,Good
3268,kochi,Hotel O Kings Fort,Near HDFC ,₹3910,70%,₹936,471,Very Good
3269,kochi,Hotel O Better Inn,Kandoth Avenue Karukappilly Kaloor P O,₹5281,71%,₹1255,183,Excellent
3270,kochi,Capital O Krishnakripa Executive Stay,Ernakulam District,₹3961,68%,₹1017,22,Very Good
3271,kochi,Hotel O ATHARVAM RESORT,Cherai,₹4548,71%,₹1047,6,Good
3272,kochi,Hotel O FERRYLAND RESIDENCY ,Kerala 683105,₹3779,72%,₹864,23,Very Good
3273,kochi,Super Townhouse OAK Edassery's Sealine Villa Stay,Near Cherai Beeach,₹10429,61%,₹3359,3,Fabulous
3274,kochi,Palette - Pagoda Resorts,Alappuzha,₹21195,67%,₹5885,587,Very Good
3275,kochi,Collection O MG Road,Near Shenoys theatrer,,,,26,Excellent
3276,kochi,Super Collection O Kalady Near Airport,Near Kalady,,,,653,Excellent
3277,kochi,Super Townhouse Edasserys Kalamassery Tourist Home,Near Apollo Tyres,,,,23,Excellent
3278,kochi,Hotel O Malabar Plaza,Near Medical Trust Hospital,,,,130,Very Good
3279,kochi,Collection O Kadavanthra Near South Railway Station,Ernakulam,,,,213,Very Good
3280,kochi,Palette MG Road Ernakulam,M.G Road,,,,,
3281,kochi,Townhouse Kalady Near Airport ,Kalady,₹4162,71%,₹1018,59,Excellent
3282,kochi,Hotel O Ernakulam Near North Railway Station,North Kanayannur,₹4312,71%,₹1055,11,Very Good
3283,kochi,Super Collection O Calvathy Road Near Fort Kochi,Near Coast Guard Police Station,₹4447,68%,₹1174,588,Excellent
3284,kochi,Hotel O DH Road Ernakulam,Ernakulam,₹3952,67%,₹1076,63,Very Good
3285,kochi,Hotel O SRM Road Kochi,Near NORTH RAILWAY STATION ,₹4469,71%,₹1061,71,Excellent
3286,kochi,Super Hotel O HMT Colony Kochi formerly Pullans Arcade,Kalamassery,₹3974,71%,₹972,26,Excellent
3287,kochi,Super Hotel O Thammanam Kochi,Palachuvadu,₹4114,71%,₹1007,50,Excellent
3288,kochi,Hotel O Kalamassery Near Medical College,North Kalamassery,₹4941,71%,₹1208,20,Excellent
3289,kochi,Collection O Vazhakkala Kakkanad,Near Kakkanad,₹4303,71%,₹1043,1333,Very Good
3290,kochi,Super Hotel O Aluva Town,Near Colonypady Junction,₹3787,68%,₹1000,550,Excellent
3291,kochi,Super Hotel O North Kalamassery,Kombara,₹3995,71%,₹948,537,Excellent
3292,kochi,Super Hotel O Cheranelloor Near Aster Medicity,Cheranallur,₹3985,68%,₹1053,640,Excellent
3293,kochi,Hotel O Gandhi Nagar Near South Railway Backgate,Opposite to South Railway Station,₹6282,71%,₹1538,19,Excellent
3294,kochi,Townhouse City Center Ernakulam,Ernakulam,₹3987,71%,₹976,34,Very Good
3295,kochi,Super Hotel O Broadway Ernakulam,Behind Rani Matha School,₹6169,68%,₹1629,217,Excellent
3296,kochi,Hotel O Ambalamedu,Ambalamedu,₹4589,71%,₹1123,32,Excellent
3297,kochi,Collection O Lala Homes,Near Paravur Kavala,₹3627,73%,₹786,536,Very Good
3298,kochi,Super  Townhouse  Vembanad Tourist Home,Near Vaikom Mahadeva Temple,₹5021,67%,₹1342,37,Very Good
3299,kochi,Hotel O Vazhakkala,Kanayannur,₹4511,67%,₹1229,232,Excellent
3300,kochi,Hotel O Nettoor Near Lakeshore Hospital,Ernakulam,₹4654,68%,₹1229,134,Excellent
3301,kodaikanal,Super Collection O Perumpallam,Perumballam,₹3813,78%,₹658,562,Very Good
3302,kodaikanal,Hotel O Kodaikanal Vilpatti formerly Kodai Hut,Vilpatti,₹3203,71%,₹715,93,Very Good
3303,kodaikanal,Hotel O Dev Holiday Homestay,Sreenivasapuram,₹6264,72%,₹1441,5,Fair
3304,kodaikanal,Hotel O Ding Dong Residency,Kodaikanal ,₹5888,71%,₹1365,1,Fair
3305,kodaikanal,Hotel O SLR Homes,Kodaikanal,₹6066,73%,₹1305,17,Excellent
3306,kodaikanal,Collection O AMARAN SHOLA NEST,Vilpatti,₹8604,68%,₹2227,1,Fabulous
3307,kodaikanal,Hotel O Angel Nivas,Near Chinnapalam Main Road,₹6707,72%,₹1547,2,Fair
3308,kolkata,Hotel O City Inn,Avisar Spencer Kalikapur,₹2790,72%,₹623,9,Good
3309,kolkata,Collection O Raj Darbar Near City Centre,Newtown,₹4964,72%,₹1132,637,Very Good
3310,kolkata,Super Hotel O Royal Crown Banquet,M.G ROAD 4TH FLOOR KABARDANGA MORE PAVITRA MEGHA MALL,₹6492,71%,₹1551,155,Very Good
3311,kolkata,Hotel O Mrs Inn,Near City center 1,₹4818,72%,₹1111,25,Good
3312,kolkata,Hotel O Falcon Guest House,Salt Lake,₹2716,74%,₹560,6,Fair
3313,kolkata,Hotel O Relief Inn,Near SBI Kalitala road,₹2846,76%,₹530,12,Good
3314,kolkata,Hotel O Night Quine Guest House,Plot No AA-IIIC/1504,₹3218,72%,₹731,159,Very Good
3315,kolkata,Hotel O Tagore Inn Guest House,Tagore Park,₹3419,71%,₹779,14,Fabulous
3316,kolkata,Hotel O IBIZA INN,Near Lake Town No:04 Foot Bridge,₹6066,72%,₹1406,25,Excellent
3317,kolkata,Collection O Ridz Plaza,1,₹2005,63%,₹583,305,Good
3318,kolkata,Hotel O Blue Rose,Near Amity University,₹2522,70%,₹593,175,Good
3319,kolkata,Hotel O DREAM LAND ,Sri Nagar - Gate No 2,₹3419,71%,₹804,4,Very Good
3320,kolkata,Capital O Fortune Inn Near Birla Mandir,Kasba,₹2730,73%,₹588,14,Good
3321,kolkata,"Super Hotel O Marina Near Cit Road Ladies Park, Park Circus",Near Ladies Park,₹4246,73%,₹911,615,Excellent
3322,kolkata,Collection O Lemon Arrow Inn,Near Nabana Bhavan,₹4389,72%,₹996,392,Good
3323,kolkata,Hotel O A Retro,Near Tank N0.3,₹3309,71%,₹752,11,Fair
3324,kolkata,Townhouse OAK Hotel 1 Lovelock,Ballygunge,₹7765,74%,₹1605,778,Very Good
3325,kolkata,Hotel O Blue Sapphire Hotel & Banquets,kolkata ,₹3464,71%,₹814,7,Excellent
3326,kolkata,Hotel O Flagship 70297 All Season,Street No 510,₹2482,71%,₹571,3,Fair
3327,kolkata,Hotel O Chinar Heavens,AS/267,₹2967,71%,₹689,41,Good
3328,kolkata,Hotel O URBAN NEST GUEST HOUSE,near Ujjiban multispecialty Hospital  ,₹3192,71%,₹732,8,Very Good
3329,kolkata,Hotel O Tumpa Inn ,Near Sector-v Metro Station,₹11169,71%,₹2628,64,Fair
3330,kolkata,Collection O Dream World Residency,Kolkata-700156,₹3851,68%,₹984,51,Good
3331,kolkata,Townhouse Jheel Mahal,Akankha,₹3188,69%,₹789,557,Very Good
3332,kolkata,Hotel O Redwood Plaza,Bablatola Opposite Of Bajaj Showroom,₹2917,67%,₹761,135,Very Good
3333,kolkata,Super Collection O Green Leaf Near Acropolis Mall,Kasba,₹3172,63%,₹946,934,Very Good
3334,kolkata,Hotel O Delight Room,Tank no-2,₹3582,72%,₹826,1,Very Good
3335,kolkata,Hotel O Smriti Villa Classic,IB-66,₹4104,72%,₹940,16,Fair
3336,kolkata,Townhouse Oak Hotel Lake View Royal Near Science City ,Kolkatanull,₹6016,73%,₹1319,982,Very Good
3337,kolkata,Super Hotel O Ruby Near Acropolis Mall,Near Acropolis Mall,₹4292,67%,₹1123,1036,Very Good
3338,kolkata,Hotel O The Nest Inn Near Acropolis Mall,Near Acropolis Mall,₹2846,69%,₹693,457,Excellent
3339,kolkata,Hotel O Diamond Regency Near Birla Mandir,Near Acropolis Mall,₹3108,70%,₹751,409,Very Good
3340,kolkata,Hotel O 4 Friends,Akankha More,₹3518,74%,₹718,25,Excellent
3341,kolkata,Super Hotel O Avenue Inn Near Birla Mandir,Near By Land Mark Shyam Sundar Jewellers,₹4662,71%,₹1073,737,Excellent
3342,kolkata,Hotel O Regal Inn,New Town,₹2481,71%,₹542,18,Excellent
3343,kolkata,Hotel O Singh Guest House,Near Thakurpukur Cancer Hospital,₹2286,70%,₹542,88,Very Good
3344,kolkata,Hotel O Flagship 70297 All Season,Street No 510,₹2482,71%,₹571,3,Fair
3345,kolkata,Hotel O Avi Gust House,block no 45,₹2440,72%,₹539,111,Fair
3346,kolkata,Hotel O Ecopark Guest House,Newtown,₹3492,80%,₹542,44,Fair
3347,kolkata,Hotel O Dream Connect,901 901 Action Area Iiic,₹3071,72%,₹692,4,Good
3348,kolkata,Super Hotel O Jessore Road Kolkata formerly Skyline Serenity,South Dumdum,₹4254,72%,₹1009,100,Excellent
3349,kolkata,HOTEL O THE INFINITY,kolkata,₹2866,74%,₹592,8,Fabulous
3350,kolkata,Super Hotel O Anandalok Guest House,Champadal,₹4087,68%,₹1034,163,Very Good
3351,kolkata,Super Hotel O THE NEST INN,Action Area I,₹4104,67%,₹1085,140,Excellent
3352,kolkata,Super Hotel O Eminent Hotel,KC Das Near Esplanade Metro Station,₹5929,73%,₹1308,182,Very Good
3353,kolkata,Super Collection O Westin Plaza,Near Axis Bank,₹3801,72%,₹856,904,Very Good
3354,kolkata,Hotel O Galaxy,Near JIS College,₹3640,75%,₹709,79,Fair
3355,kolkata,Hotel O Park Platinum,Dharmatala,₹4144,72%,₹938,334,Very Good
3356,kolkata,Hotel O Lindsay Inn Guest House,Dharmatalanull,₹3882,75%,₹759,88,Good
3357,kolkata,Collection O Motisarai Near Birla Mandir,Off Park Street,₹4122,72%,₹914,511,Very Good
3358,kolkata,Hotel O Palace Inn Near Acropolis Mall,Near Vivekananda Park,₹2142,68%,₹542,136,Fabulous
3359,kolkata,Hotel O Suktara GUEST HOUSE,Barasat,₹3154,74%,₹638,17,Very Good
3360,kolkata,Hotel O Yellow Rose,Rajarhat,₹2716,74%,₹539,47,Very Good
3361,kolkata,Collection O Ketan Regency Near Acropolis Mall,953 Purbachal Road adapt House Prince Park Kalikapur (in lane between Tata chroma showroom & Yamaha Moters Showroom,₹3135,67%,₹808,711,Excellent
3362,kolkata,Super Collection O Belgacihia Near Kolkata Railway Station,Near Belgachia Metro Station,₹5118,71%,₹1241,366,Excellent
3363,kolkata,Collection O Snowfox,Pin No 700110 Gram Sansan / Part No XIII,₹2938,68%,₹738,500,Very Good
3364,kolkata,Hotel O Jalan Regency,Sealdah,₹4354,73%,₹940,569,Good
3365,kolkata,Super Hotel O Ruby Near Acropolis Mall,Near Acropolis Mall,₹4292,67%,₹1123,1036,Very Good
3366,kolkata,Hotel O Nilay Guest House,Near kanishk shop,₹3244,76%,₹621,459,Good
3367,kolkata,Hotel O Diamond Regency Near Birla Mandir,Near Acropolis Mall,₹3108,70%,₹751,409,Very Good
3368,kolkata,Hotel O Sealdah Formerly Aria Grand,Methodist Church,₹4271,71%,₹1017,41,Excellent
3369,kolkata,Hotel O Maa Tara Guest House Near Acropolis Mall,Near R.N.Tagore Hospital,₹2328,70%,₹542,196,Very Good
3370,kolkata,Hotel O Jalan Lake View Near Mani Square,Near Beliaghata lake side club,₹3497,63%,₹1041,381,Fair
3371,kolkata,Hotel O Aafreen International Guest House,Near Moonlight Cinema Hall,₹11184,72%,₹2623,3,Very Good
3372,kolkata,Hotel O M.G. GUEST HOUSE,New Town Road,₹4737,72%,₹1091,1,Fabulous
3373,kolkata,Townhouse OAK The Platinum Studio,Westin Near Eco Park Gate No 1 New Town Biswa Bangla Gate,₹7380,72%,₹1671,1045,Excellent
3374,kolkata,Super Hotel O Baguiati,VIP Road Baguihati Kolkata Airport Near Ladies Hostel,₹5637,68%,₹1489,377,Excellent
3375,kolkata,Super Hotel O ABI’S INN Hotel Near Dhakuria Manipal Hospital,Near Amri Hospital,₹4489,63%,₹1361,743,Very Good
3376,kolkata,Hotel O DASH LIVING,Biswa Bangla Sarani Behind Binany Building,₹3022,67%,₹789,191,Excellent
3377,kolkata,Hotel O Tagore Park Kolkata formerly Fortune Plaza,Near Tagore Park,₹4814,72%,₹1096,68,Very Good
3378,kolkata,Hotel O The Stay,Near RDB Cinema,₹7582,67%,₹2020,10,Excellent
3379,kolkata,Xpress Inn,Alipore,₹3338,71%,₹747,103,Fair
3380,kolkata,Hotel O Jagannath International Near Kolkata Airport,Belghoriya Expy and Jessore Rd connector 3 No Kolkata International Airport,₹3445,74%,₹707,571,Good
3381,kolkata,Hotel O A Retro,Near Tank N0.3,₹3309,71%,₹752,11,Fair
3382,kolkata,"Hotel O Red Velvet Inn Near Chinar park,Airport",Near Chinar Park,₹3282,72%,₹714,128,Good
3383,kolkata,Super Townhouse VIP Road Formerly The Sky,Near Rani Tower,₹5797,68%,₹1531,199,Excellent
3384,kolkata,Hotel O Maple The Residence,New Town,₹2716,72%,₹591,33,Fair
3385,kolkata,Hotel O Trisha Guest House,Behind New Life Nurshing Home,₹2499,72%,₹547,267,Very Good
3386,kolkata,Hotel O Home Stay 2,Sector V,₹2522,73%,₹542,104,Good
3387,kolkata,Super Hotel O Garden View,Near Reliance Fresh,₹2898,71%,₹672,373,Excellent
3388,kolkata,Xpress Inn,Alipore,₹3338,71%,₹747,103,Fair
3389,kolkata,Super Hotel O Avenue Inn Near Birla Mandir,Near By Land Mark Shyam Sundar Jewellers,₹4662,71%,₹1073,737,Excellent
3390,kolkata,Hotel O AMAR RAJ,New Town,₹3358,72%,₹768,30,Good
3391,kolkata,Hotel O Trina's Guest inn 2,CL-256,₹4847,72%,₹1117,8,Good
3392,kolkata,Hotel O Blue Star Guest House Near City Centre Salt Lake,GC-60,₹3397,75%,₹667,6,Very Good
3393,kolkata,Hotel O Top 22,Near Vivanta,₹4858,68%,₹1245,56,Very Good
3394,kolkata,Super Collection O Park Circus,Near Quest Mall,₹6185,68%,₹1634,923,Fabulous
3395,kolkata,Hotel O Kuber Residency Near Birla Mandir,Near Tagore Park,₹3891,68%,₹981,329,Good
3396,kolkata,Super Townhouse New Town,Near Action Area I,₹7228,68%,₹1909,913,Very Good
3397,kolkata,Hotel O 4 Season,Rajarhat Reckjeoni Chowmatha City Centre 2,₹2716,74%,₹530,16,Excellent
3398,kolkata,Super Collection O Sealdah formerly Hamza International,Near College Street,₹7201,68%,₹1902,1530,Very Good
3399,kolkata,Hotel O City Palace,Near Metro Station,₹3076,77%,₹551,22,Good
3400,kolkata,Hotel O Dream Paradise,New Town,₹3328,68%,₹840,49,Good
3401,kolkata,Hotel O Holiday,SANJHA CHULHA RESTAURANT SCIENCE CITY EM BYE PASS,₹2938,71%,₹664,21,Good
3402,kolkata,"Hotel O Red Velvet Inn Near Chinar park,Airport",Near Chinar Park,₹3282,72%,₹714,128,Good
3403,kolkata,Hotel O The Royal Velvet,Newtown,₹5805,71%,₹1345,19,Fabulous
3404,kolkata,Hotel O Rose Inn,MAHANIRBAN ROADGARIAHAT,₹3659,71%,₹835,11,Excellent
3405,kolkata,Hotel O SK HOTEL,10/510 PLOT NO- 323310/510 PLOT NO- 3233 ACTION AREA IIB NEWTOWN AKANKHA MORE,₹3919,71%,₹898,51,Good
3406,kolkata,Collection O Dream World Residency,Kolkata-700156,₹3851,68%,₹984,104,Very Good
3407,kolkata,Hotel O THE S R INN,Kalikapur,₹2818,72%,₹636,,
3408,kolkata,Super Townhouse Centre Point Inn Near Esplanade Metro Station,Beside K C Das Sweet Esplanade Post Office,₹6559,74%,₹1374,775,Excellent
3409,kolkata,Super Collection O Salt lake City,Near Chingrighata EM-Bypass crossing,₹6041,68%,₹1595,546,Excellent
3410,kolkata,Hotel O SAMOTEL,Kolkata - 700101 Behind BANDHAN AC BANQUET HALL,₹3902,67%,₹1030,137,Very Good
3411,kolkata,Hotel O Happy Stay,Helabattala,₹2765,74%,₹560,5,Excellent
3412,kolkata,Hotel O Dreams Inn,Opposite Maroon Salon,₹3824,71%,₹862,58,Good
3413,kolkata,Hotel O Ivy Cottage,North 24 Paragana ,₹2718,72%,₹598,21,Very Good
3414,kolkata,Collection O Heritage Near Acropolis Mall,Rajdanga Main Road,₹3154,68%,₹811,458,Excellent
3415,kolkata,Collection O Hotel Aqua Villa Near Netaji Subhash Chandra Bose International Airport,Chinarpark,₹3597,68%,₹917,1491,Very Good
3416,kolkata,Hotel O Royal Green Guest House,Rajarhat Main Road,₹2716,74%,₹539,17,Very Good
3417,kolkata,Hotel O New Town Near Kolkata Airport,Behind City Center 2,₹4845,67%,₹1320,558,Very Good
3418,kolkata,Hotel O Golden Palace,Near Acropolis Mall,₹4249,81%,₹623,384,Good
3419,kolkata,Hotel O Crystal Palace,Kolkata,₹3058,72%,₹693,20,Good
3420,kolkata,Hotel O Stay Inn,Newtown Near Garden View Hotel,₹2527,67%,₹655,183,Excellent
3421,kolkata,Hotel O LAXMI BHAWAN,Landmark- NEAR R.N. TAGORE HOSPITAL,₹3154,73%,₹685,14,Very Good
3422,kolkata,Hotel O Classic International,Esplanade,₹3483,72%,₹779,4,Fair
3423,kolkata,Hotel O Chilli Pepper Hotel and Restaurant,Opp. Bandhu Mahal Clubnull,₹4955,71%,₹1139,142,Very Good
3424,kolkata,Hotel O Atithi Guest House,Near Townhall Bangur,₹3419,71%,₹779,4,Fair
3425,kolkata,OYO Home Gitanjali Home,Chakpachuria,₹2667,74%,₹542,109,Fabulous
3426,kolkata,Super Hotel O Marquis Street formerly BK International,Near HDFC Bank,₹6062,71%,₹1439,47,Good
3427,kolkata,Hotel O South Fern,Near D M Kinney Centre,₹4021,72%,₹908,,
3428,kolkata,Hotel O Apan Guest House Near Acropolis Mall,Near Mukundapur  Bus Stop R.N Tagore Institute of Cardiac Sciences,₹2142,68%,₹539,135,Very Good
3429,kolkata,Super Townhouse OAK Bulbuli Neer,Opposite to Kalyani AIIMS,₹6258,68%,₹1607,533,Excellent
3430,kolkata,Hotel O SUNRISE INN,Rajarhat,₹6552,81%,₹997,28,Very Good
3431,kolkata,Hotel O Santragachi Junction formerly Hotel Shubra,Howrah,₹5564,71%,₹1316,409,Excellent
3432,kolkata,Hotel O POP Three Star Restaurant And Hotel,Barasat,₹2499,72%,₹542,254,Fair
3433,kolkata,Super Hotel O Hr Inn Near City Centre Salt Lake,Bidhannagar,₹3675,72%,₹835,100,Fair
3434,kolkata,Hotel O Dinar,Chandni Chawk,₹4601,72%,₹1046,176,Very Good
3435,kolkata,Hotel O Ma Kali Guest House Near City Centre Salt Lake,Near FD Block,₹2457,72%,₹551,1045,Excellent
3436,kolkata,Super Hotel O DumDum Thana More formerly Bimla Regency,Police Station,₹4528,68%,₹1196,53,Good
3437,kolkata,Townhouse OAK The Platinum Studio,Westin Near Eco Park Gate No 1 New Town Biswa Bangla Gate,₹7380,72%,₹1671,982,Very Good
3438,kolkata,Hotel O Mahal,481 kantabale Ghora Gachha Kalyani AIIMS,₹3902,71%,₹922,285,Good
3439,kolkata,Townhouse Oak Hotel Lake View Royal Near Science City ,Kolkatanull,₹6016,73%,₹1319,1896,Excellent
3440,kolkata,Collection O Vrindavan,AA-027 Salt Lake Sector 1 1st Cross Road PNB Island Bus Stop Bidhannagar Ultadanga Kolkata 700064,₹3694,68%,₹939,1,Excellent
3441,kolkata,Super Collection O VIP Road,VIP Rd,₹5101,74%,₹1098,24,Very Good
3442,kolkata,Hotel O Survey Park,Survey Park,₹3632,71%,₹843,25,Excellent
3443,kolkata,Hotel O 24 Inn,Rathtala Jessore RoadNational Highway 12,₹3588,71%,₹819,1567,Very Good
3444,kolkata,Hotel O Guest House Salt Lake Palace,Sector II,₹2837,72%,₹639,25,Very Good
3445,kolkata,Collection O Aafreen Tower Near St. Thomas's Church,Esplanade,₹4149,69%,₹1035,203,Excellent
3446,kolkata,Hotel O Comfort N Cozy,Action Area I,₹3441,68%,₹863,,
3447,kolkata,Hotel O Sunshine Near Netaji Subhash Chandra Bose International Airport,Street No 725,₹2792,71%,₹625,,
3448,kolkata,Hotel O Hazra Inn,Ballygunge,₹5582,72%,₹1279,825,Excellent
3449,kolkata,Hotel O Ecopark Guest House,Newtown,₹3492,80%,₹542,44,Fair
3450,kolkata,Super Hotel O Biswa Bangla Sarani,BD-199,₹3557,70%,₹859,49,Excellent
3451,kolkata,Hotel O The Nest Inn Near Acropolis Mall,Near Acropolis Mall,₹2846,69%,₹693,457,Excellent
3452,kolkata,Hotel O The AX Inn,Survey Park,₹3632,72%,₹802,40,Excellent
3453,kolkata,Hotel O Binayak Inn,Santoshpur,₹2716,73%,₹566,225,Fair
3454,kolkata,HOTEL O Aanandalok ,21K N C ROAD  Barasat Panchanan Market,₹3720,73%,₹807,9,Good
3455,kolkata,Hotel O Grand Eden,Eden Court,₹2846,72%,₹629,260,Excellent
3456,kolkata,Super Collection O Bisarjan Ghat,Near Biswabangla Gate,₹4534,71%,₹1104,1102,Excellent
3457,kolkata,Hotel O Avi Gust House,block no 45,₹2440,72%,₹539,111,Fair
3458,kolkata,Hotel O Jagannath International Near Kolkata Airport,Belghoriya Expy and Jessore Rd connector 3 No Kolkata International Airport,₹3445,74%,₹707,571,Good
3459,kolkata,Super Townhouse VIP Road Formerly The Sky,Near Rani Tower,₹5797,68%,₹1531,199,Excellent
3460,kolkata,Hotel O Petals Residency,Near PVR Diamond Plaza,₹2667,72%,₹593,204,Good
3461,kolkata,Hotel O Red Stone Near Netaji Subhash Chandra Bose International Airport,Chinar Park,₹2395,71%,₹553,1570,Very Good
3462,kolkata,Hotel O Tagore Park Kolkata formerly Fortune Plaza,Near Tagore Park,₹4814,72%,₹1096,68,Very Good
3463,kolkata,Super Hotel O Alipore Near Chetla,Near Raja Santosh Road,₹4926,71%,₹1203,552,Excellent
3464,kolkata,Super Hotel O Nico Park Kolkata,Sector IV,₹3986,74%,₹878,83,Excellent
3465,kolkata,Hotel O Kolkata Near Acropolis Mall Formerly 7 Horse GH,E.K.T,₹4029,71%,₹940,71,Excellent
3466,kolkata,Super Collection O Behala,Joka Industrial Plaza,₹4608,68%,₹1217,930,Excellent
3467,kolkata,Collection O Church View Near St. Thomas's Church,Near Brand Factory,₹5492,72%,₹1266,212,Very Good
3468,kolkata,Super Townhouse Royal Garden Park Street Mullick Bazar Crossing,Near Jameson Inn,₹4761,71%,₹1114,2482,Excellent
3469,kolkata,Hotel O New Aamaze Inn Near Acropolis Mall,Near Vivanta Hote,₹2716,70%,₹647,319,Good
3470,kolkata,Hotel O The Platinum Inn,Near Barrackpore Wireless More,₹4375,72%,₹993,113,Very Good
3471,kolkata,Hotel O Royal Regency Near Acropolis Mall,Rajdanga Main Road,₹2505,71%,₹561,40,Very Good
3472,kolkata,Hotel O Ankita Guest House,Near Gst Bhawan,₹2716,74%,₹539,185,Very Good
3473,kolkata,Super Townhouse Hotel All In One Near City Centre Salt Lake,DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake,₹5598,68%,₹1436,1532,Fabulous
3474,kolkata,Super Collection O De Sivalika Boutique Near Dakshineswar Kali Temple,Grand Trunk Road,₹6147,67%,₹1628,869,Excellent
3475,kolkata,Hotel O Jams Guest House,Near Bhumika Bhawan,₹2846,76%,₹542,24,Good
3476,kolkata,Hotel O Trisha Guest House,Behind New Life Nurshing Home,₹2499,72%,₹547,267,Very Good
3477,kolkata,Super Hotel O Baguiati,VIP Road Baguihati Kolkata Airport Near Ladies Hostel,₹5637,68%,₹1489,377,Excellent
3478,kolkata,Hotel O Home Stay 2,Sector V,₹2522,73%,₹542,104,Good
3479,kolkata,Hotel O Avenue Inn,288/2 Bangur Avenue Block B,₹2912,77%,₹512,408,Very Good
3480,kolkata,Hotel O Philips,Dendrite Building,₹3471,72%,₹790,99,Excellent
3481,kolkata,Hotel O Red Rose hotel & Restaurant,Uttar Pratap garh.nimta.P/o. Nimta.Bkp. kalyani exp. way. Thana. Nimta,₹3712,73%,₹790,5,Very Good
3482,kolkata,Flagship Tiger Inn,,₹3227,74%,₹658,16,Fair
3483,kolkata,Hotel O Mahal And Restaurant Kanchrapara,Netaji subhash path near kanchrapara station ,₹4588,69%,₹1139,246,Good
3484,kolkata,Hotel O RS Guest House ,Near Purbalok,₹3494,72%,₹795,124,Very Good
3485,kolkata,Super Hotel O New Alipore,Opposite New Alipore Residency,₹5017,75%,₹1032,1049,Excellent
3486,kolkata,Hotel O Honey Regency Near City Centre Salt Lake,C L Block,₹4052,71%,₹924,213,Good
3487,kolkata,Hotel O Metrortel Guest House,Near Ajaynagar Vidyapith,₹2716,74%,₹539,126,Very Good
3488,kolkata,Collection O 87025 Pink House,Barasat,₹3589,72%,₹823,49,Very Good
3489,kolkata,Hotel O DASH LIVING,Biswa Bangla Sarani Behind Binany Building,₹3022,67%,₹789,191,Excellent
3490,kolkata,Hotel O Palace & Om Palace,1/DE M Bypass,₹2705,71%,₹605,182,Very Good
3491,kolkata,Hotel O ANA GUEST HOUSE,Newtown,₹2727,71%,₹610,149,Very Good
3492,kolkata,Hotel O Padmavati Projects Pvt Ltd Near Netaji Subhash Chandra Bose International Airport,Biswa Bangla Sarani Behind Binany Building,₹3139,67%,₹822,130,Excellent
3493,kolkata,Super Hotel O ABI’S INN Hotel Near Dhakuria Manipal Hospital,Near Amri Hospital,₹4489,63%,₹1361,743,Very Good
3494,kolkata,Flagship Dolphin Hotel (rupam Guha Neogi),Noapara,₹2231,69%,₹542,31,Fair
3495,kolkata,Hotel O Maple The Residence,New Town,₹2716,72%,₹591,33,Fair
3496,kolkata,Hotel O Royal Inn,Tegharia,₹2964,68%,₹745,173,Good
3497,kolkata,Hotel O City Of Joy,Salt Lake,₹2744,73%,₹571,247,Very Good
3498,kolkata,Hotel O Stay Inn,Navapalli,₹4847,72%,₹1117,31,Good
3499,kolkata,Super Collection O Karaya Road formerly Hotel New Diamond,Park Circus,₹5474,68%,₹1445,240,Very Good
3500,kolkata,Super Townhouse Mannat International Near Science City Topsia Biswa Bangla Mela Pranga,4No Bridge,₹4861,68%,₹1242,1849,Excellent
3501,kolkata,Hotel O Ankan Regency Near Acropolis Mall,595,₹2790,73%,₹605,245,Excellent
3502,kolkata,Collection O G.N Palace,24 RN Mukherjee Road,₹5764,67%,₹1524,130,Very Good
3503,kolkata,Hotel O Delight Room,Tank no-2,₹3582,72%,₹826,1,Very Good
