,Place,Hotel Name,Destination,Actual Price,Offer Percentage,Price,Ratings,Review
1671,dhanbad,Townhouse Bank More Dhanbad Formerly Rise And Dine,Bank More,₹4355,71%,₹1001,1648,Very Good
1672,dhanbad,Hotel O 27 Degree Hotel,BESIDE DHANBAD RAILWAY STATION,₹2102,73%,₹442,45,Very Good
1673,dhanbad,Hotel O Bridge View,Near Dhanbad Railway Station,₹2353,72%,₹510,373,Very Good
1674,dhanbad,Super Hotel O CITY HEIGHTS,OPP. SRI RAM PLAZADHANBADnull,₹2630,74%,₹524,741,Excellent
1675,dhanbad,Super Hotel O Grill Inn,Beside Dhanbad Railway Station.,₹2180,69%,₹522,302,Excellent
1676,dhanbad,Collection O DIVIRA INN,NEAR RITA VERMA PETROL PUMP,₹3865,72%,₹883,792,Excellent
1677,dhanbad,Super Hotel O Sofitel Hotel,Beside of ICICI Bank. Near Dhanbad Railway Station.,₹2254,70%,₹521,615,Excellent
1678,dhanbad,Super Hotel O Akash Regency,Shriram plaza 4th floor,₹3892,71%,₹878,1483,Very Good
1679,dhanbad,Super Capital O Divira Inn,Bank More,₹3697,68%,₹935,160,Excellent
1680,dhanbad,Super Collection O Shanti Bhawan Bank More formerly Madhulika,Bank More,₹4844,67%,₹1319,2,Fabulous
1681,dhanbad,Hotel O THE WEDDING RINGS,NEAR KRISHI BAZAR DHANBAD,₹3058,72%,₹693,8,Good
1682,dhanbad,Hotel O Swastik Regency,Near Police Station,₹3276,82%,₹455,408,Excellent
1683,dhanbad,Hotel O SUKOON,Between Car one Arena and Volvo Showroom.Barwadda,₹2353,75%,₹460,208,Very Good
1684,dhanbad,Super Collection O Hirak Road Dhanbad formerly Hirak Inn,Hirak Road,₹4485,67%,₹1222,1,Fabulous
1685,dhanbad,Hotel O The Nirvana Resorts,Barwadda Govindpur Road Near to baba hotel,₹3029,71%,₹704,206,Excellent
1686,dhanbad,Flagship HOTEL PRIYAL DHANBAD,,₹2218,72%,₹493,68,Very Good
1687,dhanbad,Super Hotel O Lalita,Near Bank Of India,₹4229,72%,₹958,,
1688,dhanbad,Hotel O Pushp Palace,Dhanbad,₹3858,72%,₹878,,
1689,dharamshala,Super Townhouse Oak Dharamshala Near Maximus Mall,Near Maximus Mall,₹6378,71%,₹1561,26,Excellent
1690,dharamshala,Super Hotel O Civil Lines Dharamshala formerly City Plaza,Near KCC Bank,₹4837,72%,₹1148,247,Excellent
1691,dharamshala,Super Townhouse Dharamshala,Near Housing Board Colony,₹4679,69%,₹1197,199,Very Good
1692,dharamshala,Townhouse Dhauladhar Nature Park,Near Dhauladhar National Park,₹3366,68%,₹902,2,Excellent
1693,dharamshala,Hotel O The Rana Palace,National Highway Nadaun Jwalamukhi,₹8554,72%,₹1989,4,Fabulous
1694,dharamshala,Hotel O Asian Resorts N Spa,Jhikli Dari,₹9485,68%,₹2473,1,Fabulous
1695,dharamshala,Hotel O Country Lodge,Near Police Station,₹3642,67%,₹954,44,Excellent
1696,dharamshala,Hotel O Sun shine homestay,Rajan khas 53 miles,₹6692,72%,₹1551,12,Very Good
1697,digha,Super Capital O Bidisha,Near Amarbati Park,₹3821,68%,₹962,296,Very Good
1698,digha,Hotel O MAITY RESIDENCY,West Bengal-721463,₹3943,73%,₹826,45,Very Good
1699,digha,Hotel O Prantika Banquet,Digha Bypass Rd,₹3799,71%,₹868,11,Very Good
1700,digha,Collection O Resort K Sea View,Near Digha Welcome Gate,₹3882,73%,₹827,18,Very Good
1701,digha,Hotel O Sonamoni,Digha,₹3943,72%,₹866,84,Excellent
1702,digha,Hotel O Debopriya,Gobindabasan,₹5031,71%,₹1161,1,Excellent
1703,digha,Collection O PRINCE PLAZA,Digha,₹7315,68%,₹1887,7,Fair
1704,digha,Hotel O Kohinur Guest House,New Digha,₹6551,68%,₹1693,46,Very Good
1705,digha,Hotel O SANKHADHWANI INN,NEAR HELIPAD NEAR HELIPADN2 Sectornull,₹5031,71%,₹1161,1,Very Good
1706,digha,Hotel O Ashiqui,Purba Medinipur ,₹7294,72%,₹1698,13,Excellent
1707,digha,Palette - Daltin Tower,Purba Medinipur,₹13057,72%,₹3068,13,Fabulous
1708,digha,Townhouse The Grand Touch & The Royal Touch,New Digha,₹15967,72%,₹3758,6,Fair
1709,digha,Hotel O Homestay Unique Beach Guest House,Near Pine Forest Beach,,,,3,Excellent
1710,digha,Hotel O SEA FEVER,Digha,,,,,
1711,digha,Hotel O Golden Queen,New Digha,,,,,
1712,durgapur,Hotel O Urvashi Guest House,Mnav 16 Mnav 16 Bengal Ambuja Housing Complex,₹4028,67%,₹1051,98,Good
1713,durgapur,Super Hotel O Nandi Inn,Near Bus Stop,₹4125,76%,₹753,335,Excellent
1714,durgapur,Hotel O Blue Amber,Near Reliance Trends,₹4149,75%,₹828,59,Good
1715,durgapur,Super Hotel O A.R. Lodge,Bidhannagar,,,,275,Very Good
1716,ernakulam,Super Hotel O Vennala Near Palarivattom,Palarivattom,₹4800,72%,₹1110,277,Very Good
1717,ernakulam,Capital O Rayan Plaza,Near Nalanda School,₹3604,72%,₹818,131,Fair
1718,ernakulam,Hotel O SREEMAGAM ,Kerala,₹3419,71%,₹779,1,Fabulous
1719,ernakulam,SPOT ON Riyan Suites,Kuthappady,₹3251,72%,₹738,114,Fair
1720,erode,Super Hotel O Erode Bus Stand,Near Kalyan Silks,₹3701,71%,₹860,38,Very Good
1721,erode,Super Hotel O Chinnamuthu Main Street,Edayankattuvalasu,₹3943,80%,₹617,623,Excellent
1722,erode,Hotel O Saravana Stays,Near Kavindapadi Bus Stand,₹2315,76%,₹419,16,Fabulous
1723,erode,Super Hotel O City Lodge,India,₹2868,72%,₹647,58,Very Good
1724,erode,Hotel O Sakthi Grand,Near GH Circle,₹4172,67%,₹1099,223,Very Good
1725,erode,Hotel O Mermaid's Le Castle Inn,Perundurai,₹5344,68%,₹1378,8,Excellent
1726,faridaba,Hotel O Skyway Residency,infront of Reliance Mart,₹2725,74%,₹561,178,Fair
1727,faridaba,Hotel The mannat,Kc Rdnull,₹2630,77%,₹475,3,Excellent
1728,faridaba,Hotel O Lavish,Gurgaon Faridabad Road,₹2254,74%,₹461,33,Good
1729,faridaba,Hotel O Sky High ,Nit 5,₹2630,76%,₹483,23,Very Good
1730,faridaba,Hotel O Lakeview,Near Badkhal Zill Chowk,₹1919,69%,₹461,75,Fabulous
1731,faridaba,Hotel O Krishna Hotel & Guest House,Faridabad,₹2778,71%,₹626,8,Fabulous
1732,faridaba,Hotel O Evergreen,N I T,₹3492,74%,₹725,155,Good
1733,faridaba,Hotel O Country Homestay,Near Neelam Ajronda Metro,₹2630,75%,₹503,23,Good
1734,faridaba,Hotel O Royal Inn,HNO 188C SECTOR 46,₹2116,72%,₹465,13,Good
1735,faridaba,Townhouse Surajkund,Anangpur Villagenull,₹4497,74%,₹953,364,Very Good
1736,faridaba,Hotel O Aroma Inn,NIT 2 nearby Tikona Park,₹2630,77%,₹467,48,Good
1737,faridaba,Hotel O Red Crown,Sector 55,₹2227,71%,₹516,6,Fair
1738,faridaba,Hotel O Galaxy,Opposite Dm Hospital,₹1782,67%,₹465,61,Fair
1739,faridaba,Hotel O Glory Galaxy,Sec 87null,₹2574,73%,₹550,24,Good
1740,faridaba,SPOT ON Hotel Green City,Ballabgarh,₹2452,71%,₹549,3,Excellent
1741,faridaba,Hotel O Maira Homes,Centrally Located,₹5087,70%,₹1247,31,Good
1742,faridaba,Hotel O Sewa Residency,Near K.L.Mehta public school,₹2568,71%,₹590,14,Good
